2015-06-28 23:40:08 INFO  [org.springframework.context.support.ClassPathXmlApplicationContext:513,main] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@45a270b2: startup date [Sun Jun 28 23:40:08 CST 2015]; root of context hierarchy
data : http://p1001.qiniudn.com/iscript%2F20150625%2FConfigProxyDetector%2F7e9c46f7-d1aa-487a-99bf-f33488801e45%2FConfigProxyDetector.20150625.1435223907979.gz?e=1435509616
2015-06-28 23:40:16 INFO  [com.lezo.iscript.yeam.resultmgr.EarliestMessageHandler:69,scheduler-2] add earliest message:3,nameCount:3,cost:2234
data : http://p1001.qiniudn.com/iscript%2F20150625%2FConfigProxyDetector%2F7e9c46f7-d1aa-487a-99bf-f33488801e45%2FConfigProxyDetector.20150625.1435224004932.gz?e=1435509617
data : http://p1001.qiniudn.com/iscript%2F20150625%2FConfigProxyDetector%2F7e9c46f7-d1aa-487a-99bf-f33488801e45%2FConfigProxyDetector.20150625.1435224011920.gz?e=1435509617
2015-06-28 23:40:17 INFO  [com.lezo.iscript.service.crawler.service.impl.SynonymBrandServiceImpl:48,main] load brand dto,fromId:500,limit:500,get size:500,cost:704
data : http://p1001.qiniudn.com/iscript%2F20150625%2FConfigProxyDetector%2F7e9c46f7-d1aa-487a-99bf-f33488801e45%2FConfigProxyDetector.20150625.1435224046647.gz?e=1435509617
data : http://p1001.qiniudn.com/iscript%2F20150625%2FConfigProxyDetector%2F7e9c46f7-d1aa-487a-99bf-f33488801e45%2FConfigProxyDetector.20150625.1435224130421.gz?e=1435509617
data : http://p1001.qiniudn.com/iscript%2F20150625%2FConfigProxyDetector%2F7e9c46f7-d1aa-487a-99bf-f33488801e45%2FConfigProxyDetector.20150625.1435224151346.gz?e=1435509617
data : http://p1001.qiniudn.com/iscript%2F20150625%2FConfigProxyDetector%2F7e9c46f7-d1aa-487a-99bf-f33488801e45%2FConfigProxyDetector.20150625.1435224282238.gz?e=1435509617
2015-06-28 23:40:17 INFO  [com.lezo.iscript.yeam.resultmgr.directory.DirFileScanner:146,fileProduce-1-thread-1] Get new file,addCount:100,total:100,first path:/apps/istore_doc/iscript/20150628/ConfigProxyDetector/8dffb683-2fd9-4d1d-b901-80e6a1cdbe38/ConfigProxyDetector.20150628.1435505696466.gz
2015-06-28 23:40:17 INFO  [com.lezo.iscript.yeam.resultmgr.directory.DirFileScanner:100,fileProduce-1-thread-1] directoryKey:baidu.com/istore_doc/iscript/20150628/ConfigProxyDetector/8dffb683-2fd9-4d1d-b901-80e6a1cdbe38,stamp:1435505924462,acceptSum:100,result:100,accept:100,listTimes:1,listCost:531,fromStamp:1435505921000,toStamp:1435505924462
2015-06-28 23:40:17 INFO  [com.lezo.iscript.yeam.resultmgr.directory.DirFileScanner:111,fileProduce-1-thread-1] list data.directoryKey:baidu.com/istore_doc/iscript/20150628/ConfigProxyDetector/8dffb683-2fd9-4d1d-b901-80e6a1cdbe38,result:100,accept:100,params:{"limit":"0-100","marker":""}
2015-06-28 23:40:17 INFO  [com.lezo.iscript.service.crawler.service.impl.SynonymBrandServiceImpl:48,main] load brand dto,fromId:1000,limit:500,get size:500,cost:619
2015-06-28 23:40:18 INFO  [com.lezo.iscript.service.crawler.service.impl.SynonymBrandServiceImpl:48,main] load brand dto,fromId:1500,limit:500,get size:500,cost:595
2015-06-28 23:40:18 INFO  [com.lezo.iscript.yeam.resultmgr.directory.DirFileScanner:146,fileProduce-1-thread-1] Get new file,addCount:47,total:47,first path:/apps/istore_doc/iscript/20150628/ConfigProxyDetector/8dffb683-2fd9-4d1d-b901-80e6a1cdbe38/ConfigProxyDetector.20150628.1435505925693.gz
2015-06-28 23:40:18 INFO  [com.lezo.iscript.yeam.resultmgr.directory.DirFileScanner:100,fileProduce-1-thread-1] directoryKey:baidu.com/istore_doc/iscript/20150628/ConfigProxyDetector/8dffb683-2fd9-4d1d-b901-80e6a1cdbe38,stamp:1435506013599,acceptSum:147,result:47,accept:47,listTimes:2,listCost:402,fromStamp:1435505921000,toStamp:1435506013599
2015-06-28 23:40:18 INFO  [com.lezo.iscript.yeam.resultmgr.directory.DirFileScanner:111,fileProduce-1-thread-1] list data.directoryKey:baidu.com/istore_doc/iscript/20150628/ConfigProxyDetector/8dffb683-2fd9-4d1d-b901-80e6a1cdbe38,result:47,accept:47,params:{"limit":"100-200","marker":"0-100"}
2015-06-28 23:40:18 INFO  [com.lezo.iscript.yeam.resultmgr.directory.DirFileScanner:115,fileProduce-1-thread-1] list to EOF.directoryKey:baidu.com/istore_doc/iscript/20150628/ConfigProxyDetector/8dffb683-2fd9-4d1d-b901-80e6a1cdbe38,listTimes:2,maxCount:147,listCost:402,fromStamp:1435505921000,toStamp:1435506013599
2015-06-28 23:40:18 INFO  [com.lezo.iscript.service.crawler.service.impl.SynonymBrandServiceImpl:48,main] load brand dto,fromId:2000,limit:500,get size:500,cost:591
2015-06-28 23:40:19 INFO  [com.lezo.iscript.yeam.resultmgr.directory.DirFileScanner:146,fileProduce-1-thread-1] Get new file,addCount:100,total:100,first path:/apps/idocs/iscript/20150628/ConfigProxyDetector/cf1015cb-d56f-454d-a133-fffd4a9a6035/ConfigProxyDetector.20150628.1435505515475.gz
2015-06-28 23:40:19 INFO  [com.lezo.iscript.yeam.resultmgr.directory.DirFileScanner:100,fileProduce-1-thread-1] directoryKey:baidu.com/idocs/iscript/20150628/ConfigProxyDetector/cf1015cb-d56f-454d-a133-fffd4a9a6035,stamp:1435505678640,acceptSum:100,result:100,accept:100,listTimes:1,listCost:195,fromStamp:1435505927000,toStamp:1435505678640
2015-06-28 23:40:19 INFO  [com.lezo.iscript.yeam.resultmgr.directory.DirFileScanner:111,fileProduce-1-thread-1] list data.directoryKey:baidu.com/idocs/iscript/20150628/ConfigProxyDetector/cf1015cb-d56f-454d-a133-fffd4a9a6035,result:100,accept:100,params:{"limit":"0-100","marker":""}
2015-06-28 23:40:19 INFO  [com.lezo.iscript.service.crawler.service.impl.SynonymBrandServiceImpl:48,main] load brand dto,fromId:2500,limit:500,get size:500,cost:536
2015-06-28 23:40:20 INFO  [com.lezo.iscript.service.crawler.service.impl.SynonymBrandServiceImpl:48,main] load brand dto,fromId:3000,limit:500,get size:500,cost:555
2015-06-28 23:40:20 INFO  [com.lezo.iscript.yeam.resultmgr.directory.DirFileScanner:146,fileProduce-1-thread-1] Get new file,addCount:100,total:100,first path:/apps/idocs/iscript/20150628/ConfigProxyDetector/cf1015cb-d56f-454d-a133-fffd4a9a6035/ConfigProxyDetector.20150628.1435505685454.gz
2015-06-28 23:40:20 INFO  [com.lezo.iscript.yeam.resultmgr.directory.DirFileScanner:100,fileProduce-1-thread-1] directoryKey:baidu.com/idocs/iscript/20150628/ConfigProxyDetector/cf1015cb-d56f-454d-a133-fffd4a9a6035,stamp:1435506016550,acceptSum:200,result:100,accept:100,listTimes:2,listCost:192,fromStamp:1435505927000,toStamp:1435506016550
2015-06-28 23:40:20 INFO  [com.lezo.iscript.yeam.resultmgr.directory.DirFileScanner:111,fileProduce-1-thread-1] list data.directoryKey:baidu.com/idocs/iscript/20150628/ConfigProxyDetector/cf1015cb-d56f-454d-a133-fffd4a9a6035,result:100,accept:100,params:{"limit":"100-200","marker":"0-100"}
2015-06-28 23:40:20 INFO  [com.lezo.iscript.service.crawler.service.impl.SynonymBrandServiceImpl:48,main] load brand dto,fromId:3500,limit:500,get size:500,cost:527
